     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
    4960   2013-11-18  14:05:04        01:50   97.1    0.1     29888     37224
    4960   2013-11-18  14:05:05        01:51   97.1    0.1     29888     37224
    4960   2013-11-18  14:05:06        01:52   97.1    0.1     29888     37224
    4960   2013-11-18  14:05:07        01:53   97.2    0.1     29888     37224
    4960   2013-11-18  14:05:08        01:54   97.2    0.1     29888     37224
    4960   2013-11-18  14:05:09        01:55   97.3    0.1     29888     37224
    4960   2013-11-18  14:05:10        01:56   97.3    0.1     29888     37224
    4960   2013-11-18  14:05:11        01:57   97.4    0.1     29888     37224
    4960   2013-11-18  14:05:12        01:58   97.4    0.1     29888     37224
    4960   2013-11-18  14:05:13        01:59   97.5    0.1     29888     37224
    4960   2013-11-18  14:05:14        02:00   97.5    0.1     29888     37224
    4960   2013-11-18  14:05:15        02:01   97.5    0.1     29888     37224
    4960   2013-11-18  14:05:16        02:02   97.6    0.1     29888     37224
    4960   2013-11-18  14:05:18        02:03   97.6    0.1     29888     37224
    4960   2013-11-18  14:05:19        02:04   97.7    0.1     29888     37224
    4960   2013-11-18  14:05:20        02:05   97.7    0.1     29888     37224
    4960   2013-11-18  14:05:21        02:06   97.7    0.1     29888     37224
    4960   2013-11-18  14:05:22        02:07   97.8    0.1     29888     37224
    4960   2013-11-18  14:05:23        02:08   97.8    0.1     29888     37224
    4960   2013-11-18  14:05:24        02:09   97.8    0.1     29888     37224
    4960   2013-11-18  14:05:25        02:10   97.9    0.1     29888     37224
    4960   2013-11-18  14:05:26        02:11   97.9    0.1     29888     37224
    4960   2013-11-18  14:05:27        02:12   97.9    0.1     29888     37224
    4960   2013-11-18  14:05:28        02:13   98.0    0.1     29888     37224
    4960   2013-11-18  14:05:29        02:14   98.0    0.1     29888     37224
    4960   2013-11-18  14:05:30        02:15   98.0    0.1     29888     37224
    4960   2013-11-18  14:05:31        02:16   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:32        02:17   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:33        02:18   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:34        02:19   98.2    0.1     29888     37224
    4960   2013-11-18  14:05:35        02:20   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:36        02:21   98.0    0.1     29888     37224
    4960   2013-11-18  14:05:37        02:22   98.0    0.1     29888     37224
    4960   2013-11-18  14:05:38        02:23   98.0    0.1     29888     37224
    4960   2013-11-18  14:05:39        02:24   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:40        02:25   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:41        02:26   98.1    0.1     29888     37224
    4960   2013-11-18  14:05:42        02:27   98.2    0.1     29888     37224
    4960   2013-11-18  14:05:43        02:29   97.5    0.1     29888     37224
    4960   2013-11-18  14:05:44        02:30   97.6    0.1     29888     37224
    4960   2013-11-18  14:05:45        02:31   97.6    0.1     29888     37224
    4960   2013-11-18  14:05:46        02:32   97.6    0.1     29888     37224
    4960   2013-11-18  14:05:47        02:33   97.7    0.1     29888     37224
    4960   2013-11-18  14:05:48        02:34   97.7    0.1     29888     37224
    4960   2013-11-18  14:05:49        02:35   97.7    0.1     29888     37224
    4960   2013-11-18  14:05:50        02:36   97.8    0.1     29888     37224
    4960   2013-11-18  14:05:51        02:37   97.8    0.1     29888     37224
